liquidityNet,price0,price1,tickIdx
144281732811373,0.000000000000000000000000000000000000002938956807585584838874754864968539,340256786836388094050805785052980700000,-887272
5399470910,0.000000000000000000000000000000000000002939250703266343397358642340455036,340222764559932100840721712881692500000,-887271
750416416481,0.000000000000000000000000000000000000002954278418582885262890650958806081,338492131855223783697272027725930700000,-887220
3162586581247,0.000000000000000000000000000000000000008999767419846410643387841398914345,111113982545236255126439418298730800000,-876080
661125356,0.000000000000000000000000000001099990831628361975991294540391273,909098486320707412119170146933.6808,-689857
1000048,0.00000000000000000000000000009999061783319247962565123278227901,10000938304714065473884724826.94857,-644757
1450676364238850,0.0000000000000000000000000009994061550055522717766419668642089,1000594197855870148283580607.065824,-621735
0,0.0000000000000000000000000009999059580336651097308845525557964,1000094050811058097563851997.668991,-621730
9517481988822182,0.000000000000000000000000009999057377354539590821946249730622,100009427115075819274627586.994045,-598703
-1450676364238850,0.00000000000000000000000001010964861577667536500144764143322,98915406262433666270096950.58732711,-598593
0,0.000000000000000000000000227359991440114809829308919820531,4398311214149538281845107.653996479,-567461
1000055,0.0000000000000000000000409978495378738489655800765979336,24391523245047258700158.02872490976,-515511
24174441148,0.00000000000000000000009999048565430947150429459769880132,10000951525100440237603.22695015409,-506595
2866465,0.0000000000000000000004999932325195489555220983004347247,2000027070288199470299.717341280567,-490499
107961474004942,0.0000000000000000000009996047248385333337375849266292447,1000395431465703121064.096027409089,-483571
-1012537540319,0.0000000000000000000009998046557795482887896657809904197,1000195382387271842822.813036573644,-483569
-9494709648111721,0.0000000000000000000009999046362451262436185447475685183,1000095372849986844138.399196653979,-483568
-2150049040928,0.000000000000000000009998044355036559424126798982319106,100019560274929720740.8651178477761,-460542
-111116422042,0.000000000000000000009999044159472063080069211662217341,100009559318997820958.7692409236837,-460541
211632530401,0.00000000000000000003299413483350446283496341425787578,30308417088255721319.2923648361113,-448602
174352,0.00000000000000000009263603351512489708274066293658225,10794935426900890706.35016864445971,-438278
-107961315508996,0.0000000000000000000999704244803331793805302875963254,10002958426936822590.43102714021593,-437516
-206786820107,0.00000000000000000009998042152278121269846834062508504,10001958231113711219.30909623059287,-437515
29324600855795,0.00000000000000000009999041956493349081973818745914758,10000958135300181201.18897733285958,-437514
-7634542643,0.0000000000000000001999844711649636100901518334665743,5000388251021340063.244907587125608,-430582
-2631501866719,0.0000000000000000007999669417322088332163161566732871,1250051655677982742.709239108878861,-416718
0,0.0000000000000000009979062656601901263728446010500669,1002098127260905322.330682034454233,-414507
46233727962,0.0000000000000000009984053185936263490747574546504457,1001597228476927537.775640950288699,-414502
6667820152172,0.0000000000000000009996040641431475715491984630912174,1000396092684148719.852500763708141,-414490
2688834124,0.0000000000000000009998039949520168424949840182758205,1000196043473493586.400284842736745,-414488
705930238881850,0.0000000000000000009999039753515120441792335166776482,1000096033870106575.742710571679577,-414487
-726987138198954,0.000000000000000001999844271045988311989445917951261,500038935270177371.4449012368608863,-407555
-1617992237957,0.000000000000000004999927918877978388761252314809674,200002883286446968.8909944181589663,-398391
76089835509005,0.000000000000000008999725780736386503788177894816272,111114496637271628.547452953166501,-392513
319436210209,0.00000000000000000999104191895091083414553050833764,100089661129657534.1668838620107813,-391468
148634358203683412,0.000000000000000009996038439114493599464065691131235,100039631309039437.2104284815222588,-391463
5698840996926,0.000000000000000009997038042958405048824012097700352,100029628346204816.7287556059616626,-391462
51228468306177855,0.000000000000000009998037746762700889328894498910126,100019626383566460.0827473312285397,-391461
-199679741776460634,0.000000000000000009999037550537377159417827388360015,100009625421024357.6469826329652432,-391460
607432602,0.00000000000000001000003745429243089713376917109885,99999625458478509.79600303266197701,-391459
3530853714032213,0.00000000000000001023473859509611145321092387482253,97706452461730830.44587705949538797,-391227
-3530853714032213,0.00000000000000001065560093845983858600974429304608,93847358377568903.23053396852532062,-390824
-647329891502,0.00000000000000001099987681098081884750981736665206,90910109011560253.2508988716899185,-390506
41408186989590,0.00000000000000001266924001122038328275694575825044,78931332827727645.27738366352704787,-389093
-5628565541644,0.00000000000000001499877557995565010576051762883168,66672108977775431.25169471890188834,-387405
